func_name,func_type,func_file,func_description,func_icon
Run Payroll,APP,runpayroll.app,Manage and Run Missionary Payroll,
Account Statements,RPT,financial_statement.app,Account Statements for Missionaries and Projects,
Payroll Register,RPT,payroll_register.app,"Report on Payees, Salaries, Deductions for a Payroll Period",
Payroll Line Item Types,APP,item_types.app,Manage payroll line item types,                                 
Manage Payees,APP,payees.app,Manage Payees for Payroll,                                 
