func_name,func_type,func_file,func_description,func_icon
Disbursements Summary,RPT,disbursements_summary.app,Summary of Disbursements for a Period,
Checking,APP,cashdisb.app,Write Checks,
Disbursements Detail,RPT,disbursements_detail.app,Detail on Disbursements and Line Items for a Period,""                               
Disbursements Batches,APP,cd_batches.app,Manage and Post Disbursements Batches,                                 
